geo_id	genes.detected	plate	protease	targeting_primers	type	method	purpose	primer_mix	plate_method	genotyping_sequencing	rnaseq	input.reads	unique.mapped	multimap	Total.sequences	Per.base.sequence.quality	GC.content	MReads	lib.size	unmapped	ercc.count	pc.uniquemapped	pc.multimap	pc.unmapped	pc.ingenes.total	pc.ercc	pc.mit.reads	pass.qc
SET2PL3_10A	8730	SET2PL3	FALSE	TRUE	SET2	tSMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_tSMART-seq	TRUE	TRUE	3042583	2824070	194063	3042583	pass	51	102840	2633508	24450	6399	0.928181746	0.063782319	0.008035935	0.932522211	0.002429839	0.039050574	TRUE
SET2PL3_10B	6330	SET2PL3	FALSE	TRUE	SET2	tSMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_tSMART-seq	TRUE	TRUE	2592926	2312995	214643	2592926	pass	48	149098	2063500	65288	12457	0.892040498	0.082780226	0.025179276	0.89213336	0.006036831	0.072254907	TRUE
SET2PL3_10C	7359	SET2PL3	FALSE	TRUE	SET2	tSMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_tSMART-seq	TRUE	TRUE	2817344	2559557	193542	2817344	pass	49	125877	2324428	64245	11373	0.908499991	0.068696616	0.022803392	0.908136838	0.004892817	0.054153968	TRUE
SET2PL3_10D	7860	SET2PL3	FALSE	TRUE	SET2	tSMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_tSMART-seq	TRUE	TRUE	2049772	1899370	134660	2049772	pass	50	44012	1800524	15742	5525	0.92662501	0.065695111	0.007679879	0.947958534	0.003068551	0.024443995	TRUE
SET2PL3_11C	8181	SET2PL3	FALSE	FALSE	SET2	SMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_SMART-seq	TRUE	TRUE	2714061	2519471	172206	2714061	pass	49	99039	2326929	22384	7952	0.928303012	0.063449569	0.00824742	0.923578402	0.00341738	0.042562107	TRUE
SET2PL3_11D	6767	SET2PL3	FALSE	FALSE	SET2	SMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_SMART-seq	TRUE	TRUE	4662000	4295792	333185	4662000	pass	50	239784	3832189	33023	27457	0.921448305	0.071468254	0.007083441	0.892079738	0.007164835	0.062571027	TRUE
SET2PL3_11E	7160	SET2PL3	FALSE	TRUE	SET2	tSMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_tSMART-seq	TRUE	TRUE	2301326	261596	32788	2301326	fail	48	8231	236308	2006942	594	0.113671857	0.014247438	0.872080705	0.903331855	0.002513669	0.03483166	TRUE
SET2PL3_11F	8145	SET2PL3	FALSE	TRUE	SET2	tSMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_tSMART-seq	TRUE	TRUE	1893590	1749332	119537	1893590	pass	49	65733	1591329	24721	5835	0.923817722	0.063127182	0.013055096	0.909678094	0.003666746	0.041306983	TRUE
SET2PL3_11G	7893	SET2PL3	FALSE	TRUE	SET2	tSMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_tSMART-seq	TRUE	TRUE	3383533	3148292	208977	3383533	pass	50	101690	2951160	26264	7811	0.930474743	0.061762956	0.007762301	0.937384461	0.002646756	0.034457637	TRUE
SET2PL3_11H	8840	SET2PL3	FALSE	TRUE	SET2	tSMART-seq	Analysis	JAK2_chr9SNP1_chr9SNP2	SET2PL3_tSMART-seq	TRUE	TRUE	2857094	2665466	169274	2857094	pass	50	101063	2490071	22354	5372	0.932929053	0.059246913	0.007824034	0.934197247	0.002157368	0.040586393	TRUE
