geo_id	genes.detected	cell.type	donor	timepoint	donor.type	primer.mix	batch	plate	lineage	CD45RA	CD38	CD123	CD34	CD90	rnaseq	genotyping	genotypesall	qcgenotype	input.reads	unique.mapped	multimap	Total.sequences	Per.base.sequence.quality	GC.content	MReads	lib.size	unmapped	ercc.count	pc.uniquemapped	pc.multimap	pc.unmapped	pc.ingenes.total	pc.ercc	pc.mit.reads	pass.qc
AV12PL3_10A	3643	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	183	58	-29	190	3859	2040	TRUE	FALSE	WT	TRUE	2172905	1976226	143800	2172905	pass	48	61288	1449708	52879	32887	0.909485689	0.066178687	0.024335624	0.733573994	0.022685258	0.0422761	TRUE
AV12PL3_10B	3192	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	199	58	6	358	4612	248	TRUE	FALSE	WT	TRUE	2491082	2272737	161186	2491082	pass	47	56108	1719166	57159	26572	0.912349333	0.064705216	0.022945451	0.756429802	0.015456332	0.032636755	TRUE
AV12PL3_10C	4066	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	650	45	12	574	5328	2534	TRUE	FALSE	WT	TRUE	1951171	1644696	140760	1951171	pass	49	65137	1190437	165715	16059	0.842927657	0.072141294	0.084931049	0.723803669	0.013490004	0.054716881	TRUE
AV12PL3_10D	4548	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	258	190	-33	886	5279	214	TRUE	FALSE	WT	TRUE	2433957	2012377	174282	2433957	pass	47	100318	1276957	247298	18317	0.826792339	0.071604387	0.101603274	0.634551578	0.014344257	0.078560202	TRUE
AV12PL3_10E	4279	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	530	74	-18	597	4367	681	TRUE	FALSE	WT	TRUE	2427012	1835139	142102	2427012	pass	48	63792	1288890	449771	20951	0.756130996	0.058550184	0.18531882	0.702339169	0.016255072	0.04949375	TRUE
AV12PL3_10F	3983	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	410	117	-33	1205	5065	667	TRUE	FALSE	WT	TRUE	2089495	1638994	131839	2089495	pass	48	59369	1178625	318662	17280	0.784397187	0.063096107	0.152506706	0.719114896	0.014661152	0.050371407	TRUE
AV12PL3_10G	3954	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	399	104	-46	1009	3715	452	TRUE	FALSE	WT	TRUE	1617526	1225855	103740	1617526	pass	48	33628	844616	287931	14777	0.757857988	0.064134981	0.17800703	0.689001554	0.017495525	0.039814543	TRUE
AV12PL3_10H	3757	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	664	105	15	420	5441	2241	TRUE	FALSE	WT	TRUE	3900968	3188633	351697	3900968	pass	47	140335	2232866	360638	54758	0.817395323	0.090156341	0.092448336	0.700258073	0.024523639	0.062849719	TRUE
AV12PL3_3A	4280	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	416	70	-9	377	2836	492	TRUE	FALSE	WT	TRUE	1764113	1446504	119287	1764113	pass	47	54890	1012297	198322	17849	0.81996108	0.067618684	0.112420236	0.69982316	0.017632177	0.054223217	TRUE
AV12PL3_3B	2803	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	635	66	15	820	5024	1077	TRUE	FALSE	WT	TRUE	3080694	2811776	183975	3080694	pass	48	64106	1981931	84943	40144	0.91270863	0.059718687	0.027572683	0.704868026	0.020254994	0.032345223	TRUE
AV12PL3_3C	4369	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	338	170	-50	847	4423	809	TRUE	FALSE	WT	TRUE	1354001	593243	55185	1354001	pass	47	22225	385587	705573	4525	0.43814074	0.040756986	0.521102274	0.649964686	0.011735354	0.057639391	TRUE
AV12PL3_3D	4024	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	642	29	27	764	3025	1301	TRUE	FALSE	WT	TRUE	1571347	1284811	101107	1571347	pass	46	25979	853626	185429	13815	0.817649443	0.064344158	0.118006398	0.66439811	0.016183903	0.030433703	TRUE
AV12PL3_3E	3831	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	762	67	-26	974	5207	1136	TRUE	FALSE	WT	TRUE	1360508	228664	28311	1360508	pass	48	6868	146468	1103533	1955	0.168072514	0.020809139	0.811118347	0.640538082	0.013347625	0.046890788	TRUE
AV12PL3_3F	4445	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	523	72	-70	781	5165	443	TRUE	FALSE	WT	TRUE	1587328	1129759	89893	1587328	pass	47	26921	736622	367676	9876	0.711736327	0.056631648	0.231632026	0.652016935	0.013407148	0.03654656	TRUE
AV12PL3_3G	3796	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	554	16	-1	420	4284	872	TRUE	FALSE	WT	TRUE	2014173	1675635	130275	2014173	pass	48	56339	1101361	208263	16833	0.831922084	0.064679151	0.103398765	0.657279778	0.015283817	0.051153981	TRUE
AV12PL3_3H	3667	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	68	-63	-82	229	3417	520	TRUE	FALSE	WT	TRUE	3378444	2458099	275000	3378444	pass	44	88534	1543860	645345	32466	0.727583171	0.081398419	0.19101841	0.628070716	0.021029109	0.057345873	TRUE
AV12PL3_4A	4079	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	308	40	25	819	4064	1640	TRUE	FALSE	WT	TRUE	2253935	2005344	149453	2253935	pass	48	60225	1435957	99138	19713	0.889708	0.066307591	0.043984409	0.716065174	0.013728127	0.041940671	TRUE
AV12PL3_4B	4371	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	1000	2981	18	2021	3416	1124	TRUE	FALSE	WT	TRUE	2241705	1947420	141395	2241705	pass	48	61839	1388199	152890	17076	0.868722691	0.063074758	0.068202551	0.712840065	0.01230083	0.044546207	TRUE
